time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n,motor0,motor1,motor2,motor3,motor4,aileron,elevator,rudder
0.0,0.299877321,0.0,-4999.99967519,29.9877321,0.0,0.032481,0.0,7.092281497800279e-05,0.0,0.0,0.007092281497797358,0.0,-13.49469,0.0,35.7291,0.0,0.8049739500000002,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.01,0.5996287970347276,-6.352760638911666e-05,-4999.998930842072,29.975142248959546,-0.006352760638911666,0.076560714491283,-0.005695456337112326,0.0017613622539944807,-0.00022354671432500695,-0.5695456337112406,0.1690439439016414,-0.022354671432505465,-13.846302136148218,-6.988036702802832,46.148190127540225,-46.66230416061616,18.381513682836296,2.902360899557176,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.02,0.8992529113053959,-0.00019050953588536413,-4999.997801209456,29.96216807028754,-0.006944043605408884,0.1657008614402107,-0.015529518549660226,0.004943587760922519,-0.00046013749126050385,-0.9834062212547877,0.31822255069279815,-0.023659077693534845,-14.130795315470797,-7.541687253270526,42.35568278919821,-34.0772641968553,16.9587333453522,4.706485985900616,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.03,1.1987463323655534,-0.00037564693385764767,-4999.996343252001,29.948260737015502,-0.009295527228234152,0.2937416586820395,-0.028354668013362616,0.009472926014390204,-0.0005562545082802295,-1.282514946370228,0.45293382534676147,-0.009611701701979683,-14.719846527006824,-8.591818031682905,36.03898091477076,-24.782272420759178,15.383958875789842,5.962009702828252,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.04,1.4981031435100227,-0.0006055704810072343,-4999.994632030874,29.9327251204824,-0.01922876719836162,0.45432623502681624,-0.043322427518493134,0.015193190626981767,-0.0004016171843157501,-1.4967759505130553,0.5720264612591592,0.015463732396449815,-15.626660126162125,-9.948946458866274,27.563788878819835,-17.889021184510938,13.702858554127744,6.80072033322416,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.05,1.7973139920949823,-0.0008585995227658608,-4999.992755899425,29.914788952907436,-0.041085313931795354,0.6409929316245642,-0.059802789786604915,0.02194144465786252,8.098270533363205e-05,-1.6480362268111897,0.6748254030880771,0.0482599889649388,-16.86776058557026,-11.470342838993083,17.30453988518886,-12.749138697344508,11.958133061340964,7.31876954063539,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.06,2.0963653105137863,-0.0011060619518598147,-4999.990811917033,29.89366642427092,-0.07794907738304563,0.847316462693903,-0.07732543736108277,0.029552210563836168,0.0009432293219990839,-1.7522647574477825,0.7610765905973735,0.08622466166655098,-18.45482950734203,-13.049403267142559,5.640840471671666,-8.890228742047274,10.189517594168748,7.586761826693286,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.07,2.3952387371695405,-0.0013144481262940574,-4999.988901639212,29.86861540392518,-0.13185150945246507,1.067055060854778,-0.09553692132443947,0.03786118098694513,0.002216919522459726,-1.8211483963356776,0.8308970423108896,0.12736902004606296,-20.388589948817163,-14.607440733078658,-7.050147339157107,-5.968762113793436,8.433448607563932,7.657019143405758,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.08,2.6939108293656906,-0.0014479020935846399,-4999.98712733636,29.83898589521635,-0.20395243451561412,1.2942837105978315,-0.11416951534056619,0.046708454351575224,0.00391820388000097,-1.8632594016126804,0.8847273364630046,0.17012843575413478,-22.65498597213935,-16.087396812373314,-20.402338635181323,-3.7354391471550525,6.72266204394083,7.5688118516037335,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.09,2.992353117683357,-0.001470716152266389,-4999.985588664331,29.80425742143307,-0.294695664793849,1.5235054663107042,-0.13301860304786706,0.05594130652311069,0.006050809604687846,-1.884908770730094,0.9232852171535518,0.2132605724686772,-25.223671987479456,-17.449044149405957,-34.068921165968106,-2.0097536911854346,5.085843323862135,7.352121150774194,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
